Date,Solar / Lunar,Type
07/02/08,Solar,Annular
21/02/08,Lunar,Total
01/08/08,Solar,Total
16/08/08,Lunar,Partial
26/01/09,Solar,Annular
09/02/09,Lunar,Penumbral
07/07/09,Lunar,Penumbral
22/07/09,Solar,Total
06/08/09,Lunar,Penumbral
31/12/09,Lunar,Partial
15/01/10,Solar,Annular
26/06/10,Lunar,Partial
11/07/10,Solar,Total
21/12/10,Lunar,Total
04/01/11,Solar,Partial
01/06/11,Solar,Partial
15/06/11,Lunar,Total
01/07/11,Solar,Partial
25/11/11,Solar,Partial
10/12/11,Lunar,Total
20/05/12,Solar,Annular
04/06/12,Lunar,Partial
13/11/12,Solar,Total
28/11/12,Lunar,Penumbral
25/04/13,Lunar,Partial
10/05/13,Solar,Annular
25/05/13,Lunar,Penumbral
18/10/13,Lunar,Total
03/11/13,Solar,Hybrid
15/04/14,Lunar,Total
29/04/14,Solar,Annular (non-central)
08/10/14,Lunar,Penumbral
23/10/14,Solar,Partial
