Date,Type
07/02/2008,Annular
01/08/2008,Total
26/01/2009,Annular
22/07/2009,Total
15/01/2010,Annular
11/07/2010,Total
04/01/2011,Partial
01/06/2011,Partial
01/07/2011,Partial
25/11/2011,Partial
20/05/2012,Annular
13/11/2012,Total
10/05/2013,Annular
03/11/2013,Hybrid
29/04/2014,Annular (non-central)
23/10/2014,Partial
20/03/2015,Total
13/09/2015,Partial
09/03/2016,Total
01/09/2016,Annular
26/02/2017,Annular
21/08/2017,Total
15/02/2018,Partial
13/07/2018,Partial
11/08/2018,Partial
06/01/2019,Partial
02/07/2019,Total
26/12/2019,Annular
21/06/2020,Annular
14/12/2020,Total
10/06/2021,Annular
04/12/2021,Total
30/04/2022,Partial
25/10/2022,Partial
20/04/2023,Hybrid
14/10/2023,Annular
08/04/2024,Total
02/10/2024,Annular
29/03/2025,Partial
21/09/2025,Partial
17/02/2026,Annular
12/08/2026,Total
06/02/2027,Annular
